keys,zh_TW,en
254C36_EF1EAC,"反正你們這些法師老爺，大概不出一個禮拜就會受不了這裡的爛天氣跟硬麵包，捲鋪蓋滾回你的象牙塔了。","Anyway, you 'mage lords' probably won't last a week here with the lousy weather and hard bread, you'll pack up and roll back to your ivory tower."
254C36_00EEF6,"在那之前，管好你那根木棍，別給我們添亂。走開，纜繩重得很！","Before that, take care of your stick and don't cause trouble for us. Move along, the cable is heavy!"
254C36_E83FB7,"巴克說完便轉身離開，嘴裡還細聲咕噥著。","Buck says this and then turns around to leave, muttering under his breath."
254C36_92AFA6,"{{Persistence.data.player_name}}？嘖，名字取得倒好聽，反正過幾天就沒人記得了...","{{Persistence.data.player_name}}? Tsk, the name sounds nice, but no one will remember it in a few days anyway..."
254C36_4FB825,"別靠過來，你身上的藥劑味會干擾我判斷礦石的聲音。\n去去去，回你的塔裡玩泥巴去。","Don't come near me, the smell of potions on you will interfere with my judgment of the sound of the ore. Go, go, go, go back to your tower and play with mud."
254C36_D6DEEA,"怎麼？大學生，還沒收拾行李啊？火車票可是不等人喔。","What's wrong? College student, haven't packed your luggage yet? The train ticket won't wait for you, you know."
254C36_7FV825,"喂，大學生，你要去東邊森林？\n那邊最近不平靜，你自己看著辦，我可沒空去撈你。","Hey, college student, you're going to the forest in the east? It's been unstable there recently, you can do as you please, I don't have time to go rescue you."
254C36_480C07,"{{Persistence.data.player_name}}，過來一下。這塊礦石上面的紋路不太對勁，你那個什麼『共鳴核心』能不能幫忙看一下？","{{Persistence.data.player_name}}, come here for a moment. The pattern on this ore looks strange, can your 'resonance core' help take a look?"
254C36_177ACE,"......","......"
254C36_1015AA,"咳，我只是不想浪費體力去挖廢礦而已，別想太多。","Cough, I just don't want to waste my energy digging up worthless ore, don't read too much into it."
254C36_7FB325,"今天食堂有燉牛肉，去晚了就只剩骨頭了。\n看你瘦得跟竹竿一樣，別還沒查出真相就先餓暈了。","Today's cafeteria has stewed beef, if you go late there will only be bones left. You look as skinny as a stick, don't faint from hunger before you even find out the truth."
254C36_E5534C,"老實說，我以前覺得法師都是廢物...","To be honest, I used to think mages were all useless..."
254C36_548AE6,"但你不太一樣。你這傢伙……硬頸的程度快趕上我們礦工了。","But you're a bit different. You... have a stubbornness that almost rivals us miners."
254C36_21D27E,"如果哪天你真的把這片山谷修好了，我親自開火車送你回學院顯擺...","If one day you really fix this valley, I'll personally drive the train to show off when taking you back to the academy..."
254C36_F07E6F,"不過，到時候你可能捨不得走了吧？哈哈！","But by then, you might not want to leave, right? Haha!"
